customer_id,age,gender,tenure_months,monthly_usage_minutes,signup_date,is_churned,monthly_revenue,campaign_group,converted
1,56,Male,21,588,2022-01-01 00:00:00.000000000,0,42.58,treatment,1
2,69,Female,5,411,2022-01-01 08:23:31.905952976,0,18.01,treatment,1
3,46,Female,16,382,2022-01-01 16:47:03.811905952,0,31.83,treatment,0
4,32,Male,20,460,2022-01-02 01:10:35.717858929,0,25.08,control,0
5,60,Female,5,378,2022-01-02 09:34:07.623811905,0,30.5,treatment,0
6,25,Female,3,585,2022-01-02 17:57:39.529764882,0,19.54,control,0
7,38,Female,12,513,2022-01-03 02:21:11.435717858,0,37.13,control,0
8,56,Male,1,475,2022-01-03 10:44:43.341670835,0,22.36,treatment,0
9,36,Female,21,413,2022-01-03 19:08:15.247623811,0,39.33,treatment,1
10,40,Female,9,359,2022-01-04 03:31:47.153576788,0,22.58,treatment,1
11,28,Male,9,470,2022-01-04 11:55:19.059529764,0,37.8,control,0
12,28,Male,4,287,2022-01-04 20:18:50.965482741,1,34.01,control,0
13,41,Female,3,553,2022-01-05 04:42:22.871435717,0,25.08,treatment,1
14,53,Female,17,382,2022-01-05 13:05:54.777388694,0,29.99,control,1
15,57,Male,2,430,2022-01-05 21:29:26.683341670,0,23.22,treatment,0
16,41,Male,1,309,2022-01-06 05:52:58.589294647,1,24.54,treatment,0
17,20,Female,8,472,2022-01-06 14:16:30.495247623,0,23.31,treatment,1
18,39,Female,13,354,2022-01-06 22:40:02.401200600,1,24.54,treatment,0
19,19,Female,23,464,2022-01-07 07:03:34.307153576,0,30.0,treatment,1
20,41,Female,15,475,2022-01-07 15:27:06.213106553,0,30.42,treatment,1
21,61,Male,8,335,2022-01-07 23:50:38.119059529,1,26.59,control,0
22,47,Female,12,287,2022-01-08 08:14:10.025012506,0,34.39,control,0
23,55,Female,22,553,2022-01-08 16:37:41.930965482,0,38.4,treatment,0
24,19,Male,12,380,2022-01-09 01:01:13.836918459,0,34.6,treatment,1
25,38,Female,14,422,2022-01-09 09:24:45.742871435,1,19.99,control,0
26,50,Male,15,448,2022-01-09 17:48:17.648824412,0,20.23,control,0
27,29,Female,15,274,2022-01-10 02:11:49.554777388,0,14.18,treatment,1
28,39,Female,9,446,2022-01-10 10:35:21.460730365,0,29.48,treatment,1
29,61,Male,19,409,2022-01-10 18:58:53.366683341,0,14.05,control,0
30,42,Male,20,335,2022-01-11 03:22:25.272636318,1,32.48,treatment,0
31,66,Female,22,284,2022-01-11 11:45:57.178589294,0,41.22,control,1
32,44,Female,8,460,2022-01-11 20:09:29.084542271,0,20.77,treatment,0
33,59,Female,21,512,2022-01-12 04:33:00.990495247,1,24.29,control,0
34,45,Male,19,417,2022-01-12 12:56:32.896448224,0,35.1,treatment,1
35,33,Female,6,256,2022-01-12 21:20:04.802401200,0,7.55,treatment,1
36,32,Male,20,294,2022-01-13 05:43:36.708354177,0,33.05,treatment,0
37,64,Male,19,356,2022-01-13 14:07:08.614307153,0,41.75,control,0
38,68,Female,4,556,2022-01-13 22:30:40.520260130,0,23.02,treatment,1
39,61,Male,23,375,2022-01-14 06:54:12.426213106,0,21.65,control,0
40,69,Female,7,353,2022-01-14 15:17:44.332166083,0,34.72,control,1
41,20,Female,4,232,2022-01-14 23:41:16.238119059,0,20.63,control,0
